lasot                       | AUC        | OP50       | OP75       | Precision    | Norm Precision    |
my_lasot_2class_config      | 11.40      | 3.19       | 0.13       | 7.16         | 4.77              |
my_lasot_2class_config      | 37.65      | 43.94      | 7.49       | 40.11        | 40.26             |
my_lasot_2class_config      | 42.16      | 49.81      | 10.89      | 50.82        | 51.02             |
my_lasot_2class_config      | 35.55      | 44.15      | 11.75      | 45.81        | 45.67             |
my_lasot_2class_config      | 34.90      | 44.06      | 16.41      | 47.37        | 44.27             |
my_lasot_2class_config      | 31.36      | 39.68      | 13.82      | 38.68        | 38.75             |
my_lasot_2class_config      | 33.85      | 41.07      | 15.05      | 39.00        | 41.23             |
my_lasot_2class_config      | 30.79      | 39.05      | 17.67      | 33.80        | 35.50             |
my_lasot_2class_config      | 33.34      | 41.41      | 17.92      | 36.47        | 39.68             |
my_lasot_2class_config      | 22.19      | 27.27      | 10.36      | 25.96        | 27.68             |
my_lasot_2class_config      | 11.40      | 3.19       | 0.13       | 7.16         | 4.77              |
my_lasot_2class_config      | 37.65      | 43.94      | 7.49       | 40.11        | 40.26             |
my_lasot_2class_config      | 42.16      | 49.81      | 10.89      | 50.82        | 51.02             |
my_lasot_2class_config      | 35.55      | 44.15      | 11.75      | 45.81        | 45.67             |
my_lasot_2class_config      | 34.90      | 44.06      | 16.41      | 47.37        | 44.27             |
my_lasot_2class_config      | 31.36      | 39.68      | 13.82      | 38.68        | 38.75             |
my_lasot_2class_config      | 33.85      | 41.07      | 15.05      | 39.00        | 41.23             |
my_lasot_2class_config      | 30.79      | 39.05      | 17.67      | 33.80        | 35.50             |
my_lasot_2class_config      | 33.34      | 41.41      | 17.92      | 36.47        | 39.68             |
my_lasot_2class_config      | 22.19      | 27.27      | 10.36      | 25.96        | 27.68             |
